_name=Baseband
_uid=0
_timeDuration_sec=1
_numSamplePts=100
_samplingFreq_Hz=100
_isComplex=1
freqRng_Hz =[10, 50]
# xR, xI
0.866001,0.499986
-0.158897,0.143072
0.147241,0.330708
0.0678976,-0.00713633
-0.189204,0.890134
-0.866002,-0.499986
0.158898,-0.143072
-0.147241,-0.330708
-0.0678968,0.00713636
0.189202,-0.890133
0.866003,0.499984
-0.158898,0.143073
0.147242,0.330707
0.0678959,-0.0071364
-0.189201,0.890133
-0.866002,-0.499985
0.158898,-0.143072
-0.147241,-0.330708
-0.0678982,0.0071363
0.189206,-0.890134
0.865999,0.499989
-0.158896,0.14307
0.147239,0.330709
0.0679005,-0.00713618
-0.189211,0.890135
-0.865997,-0.49999
0.158897,-0.14307
-0.14724,-0.330708
-0.0678977,0.00713633
0.189202,-0.890133
0.866004,0.499984
-0.158898,0.143074
0.147243,0.330707
0.0678937,-0.00713651
-0.189194,0.890132
-0.86601,-0.499977
0.1589,-0.143079
-0.147246,-0.330705
-0.0678896,0.00713671
0.189185,-0.890131
0.866016,0.49997
-0.158902,0.143083
0.147248,0.330703
0.0678856,-0.0071369
-0.189176,0.89013
-0.866023,-0.499963
0.158904,-0.143087
-0.147251,-0.330701
-0.0678815,0.0071371
0.189168,-0.890129
0.866029,0.499957
-0.158905,0.143089
0.147252,0.330701
0.06788,-0.00713716
-0.189165,0.890128
-0.866032,-0.499954
0.158907,-0.143093
-0.147255,-0.330699
-0.0678759,0.00713734
0.189156,-0.890127
0.866038,0.499948
-0.158909,0.143097
0.147258,0.330697
0.0678719,-0.00713755
-0.189147,0.890126
-0.866044,-0.499941
0.158911,-0.143102
-0.147261,-0.330696
-0.0678678,0.00713773
0.189139,-0.890125
0.866051,0.499934
-0.158912,0.143106
0.147263,0.330694
0.0678638,-0.00713793
-0.18913,0.890124
-0.866057,-0.499928
0.158914,-0.14311
-0.147266,-0.330692
-0.0678597,0.00713811
0.189122,-0.890122
0.866064,0.499921
-0.158916,0.143115
0.147269,0.33069
0.0678557,-0.00713832
-0.189113,0.890121
-0.86607,-0.499914
0.158918,-0.143119
-0.147272,-0.330689
-0.0678516,0.0071385
0.189104,-0.89012
0.866076,0.499907
-0.15892,0.143123
0.147275,0.330687
0.0678476,-0.0071387
-0.189096,0.890119
-0.866083,-0.499901
0.158922,-0.143128
-0.147277,-0.330685
-0.0678436,0.00713888
0.189087,-0.890118
