_name=Carrier
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
_carrierFreq_Hz =1000
# xR, xI
0.866025,0.5
-0.866025,-0.5
0.866025,0.5
-0.866025,-0.5
0.866025,0.500001
-0.866025,-0.500001
0.866024,0.500002
-0.866023,-0.500004
0.866024,0.500003
-0.866024,-0.500002
0.866023,0.500004
-0.866025,-0.500001
0.866024,0.500002
-0.866023,-0.500004
0.866023,0.500005
-0.866022,-0.500006
0.866023,0.500004
-0.866023,-0.500005
0.866024,0.500003
-0.866023,-0.500004
0.866023,0.500005
-0.866024,-0.500003
0.866023,0.500004
-0.866023,-0.500005
0.866022,0.500006
-0.866021,-0.500007
0.866021,0.500008
-0.86602,-0.500009
0.866019,0.50001
-0.866019,-0.500011
0.866018,0.500013
-0.866018,-0.500014
0.866021,0.500008
-0.866024,-0.500003
0.866027,0.499997
-0.86603,-0.499992
0.866033,0.499986
-0.866033,-0.499987
0.866036,0.499982
-0.866039,-0.499976
0.866042,0.499971
-0.866038,-0.499978
0.866041,0.499973
-0.866044,-0.499967
0.866047,0.499962
-0.866051,-0.499956
0.866054,0.499951
-0.866057,-0.499945
0.86606,0.49994
-0.866063,-0.499934
0.866066,0.499929
-0.86607,-0.499923
0.866073,0.499918
-0.866076,-0.499912
0.866071,0.49992
-0.866075,-0.499915
0.866078,0.499909
-0.866081,-0.499904
0.866084,0.499898
-0.866087,-0.499893
0.866091,0.499887
-0.866094,-0.499882
0.866097,0.499876
-0.8661,-0.499871
0.866096,0.499878
-0.866091,-0.499886
0.866087,0.499894
-0.866082,-0.499902
0.866085,0.499896
-0.866081,-0.499904
0.866077,0.499911
-0.866072,-0.499919
0.866068,0.499927
-0.866063,-0.499935
0.866066,0.499929
-0.866062,-0.499937
0.866057,0.499945
-0.866053,-0.499952
0.866049,0.49996
-0.866044,-0.499968
0.866047,0.499962
-0.866043,-0.49997
0.866046,0.499964
-0.866041,-0.499972
0.866037,0.49998
-0.866033,-0.499988
0.866028,0.499995
-0.866024,-0.500003
0.866019,0.500011
-0.866015,-0.500018
0.866026,0.5
-0.866021,-0.500007
0.866017,0.500015
-0.866012,-0.500023
0.866008,0.500031
-0.866003,-0.500038
0.865999,0.500046
-0.865994,-0.500054
0.86599,0.500061
-0.865985,-0.500069
0.865981,0.500077
-0.865977,-0.500085
0.865987,0.500066
-0.865983,-0.500074
0.865978,0.500081
-0.865974,-0.500089
0.86597,0.500097
-0.865965,-0.500104
0.865961,0.500112
-0.865956,-0.50012
0.865952,0.500128
-0.865947,-0.500135
0.865943,0.500143
-0.865938,-0.500151
0.865934,0.500158
-0.865945,-0.50014
0.86594,0.500147
-0.865936,-0.500155
0.865931,0.500163
-0.865927,-0.500171
0.865922,0.500178
-0.865918,-0.500186
0.865914,0.500194
-0.865909,-0.500201
0.865905,0.500209
-0.8659,-0.500217
0.865896,0.500225
-0.865891,-0.500232
0.865902,0.500214
-0.865898,-0.500221
0.865893,0.500229
-0.865889,-0.500237
0.865884,0.500244
-0.86588,-0.500252
0.865875,0.50026
-0.865871,-0.500268
0.865866,0.500275
-0.865862,-0.500283
0.865857,0.500291
-0.865853,-0.500298
0.865864,0.50028
-0.865859,-0.500287
0.865855,0.500295
-0.86585,-0.500303
0.865846,0.500311
-0.865842,-0.500318
0.865837,0.500326
-0.865833,-0.500334
0.865828,0.500341
-0.865824,-0.500349
0.865819,0.500357
-0.865815,-0.500365
0.86581,0.500372
-0.865821,-0.500354
0.865817,0.500361
-0.865812,-0.500369
0.865808,0.500377
-0.865803,-0.500384
0.865799,0.500392
-0.865794,-0.5004
0.86579,0.500408
-0.865785,-0.500415
0.865781,0.500423
-0.865777,-0.500431
0.865772,0.500438
-0.865768,-0.500446
0.865763,0.500454
-0.865759,-0.500462
0.865754,0.500469
-0.86575,-0.500477
0.865745,0.500485
-0.865741,-0.500492
0.865736,0.5005
-0.865732,-0.500508
0.865728,0.500516
-0.865723,-0.500523
0.865719,0.500531
-0.865714,-0.500539
0.86571,0.500546
-0.865705,-0.500554
0.865701,0.500562
-0.865696,-0.50057
0.865692,0.500577
-0.865687,-0.500585
0.865713,0.50054
-0.865709,-0.500548
0.865705,0.500555
-0.8657,-0.500563
0.865696,0.500571
-0.865691,-0.500578
0.865687,0.500586
-0.865682,-0.500594
0.865678,0.500602
-0.865673,-0.500609
0.865669,0.500617
-0.865664,-0.500625
0.86566,0.500632
-0.865656,-0.50064
0.865651,0.500648
-0.865647,-0.500656
0.865642,0.500663
-0.865638,-0.500671
0.865633,0.500679
-0.865629,-0.500686
0.865624,0.500694
-0.86562,-0.500702
0.865615,0.50071
-0.865611,-0.500717
0.865606,0.500725
-0.865602,-0.500733
0.865628,0.500688
-0.865624,-0.500695
0.865619,0.500703
-0.865615,-0.500711
0.86561,0.500718
-0.865606,-0.500726
0.865601,0.500734
-0.865597,-0.500741
0.865592,0.500749
-0.865588,-0.500757
0.865583,0.500765
-0.865579,-0.500772
0.865575,0.50078
-0.86557,-0.500788
0.865566,0.500795
-0.865561,-0.500803
0.865557,0.500811
-0.865552,-0.500819
0.865548,0.500826
-0.865543,-0.500834
0.865539,0.500842
-0.865534,-0.500849
0.86553,0.500857
-0.865525,-0.500865
0.865521,0.500873
-0.865547,-0.500827
0.865543,0.500835
-0.865538,-0.500843
0.865534,0.500851
-0.865529,-0.500858
0.865525,0.500866
-0.86552,-0.500874
0.865516,0.500881
-0.865511,-0.500889
0.865507,0.500897
