_name=mixed
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
basebandTimeDuration_sec=1
basebandSamplingFreq_Hz=100
basebandSamplePts=100
basebandFreqRng_Hz=[10, 50]
carrierFreq_Hz=1000
carrierSamplePts=2000
carrierFreqRng_Hz=[500, 2000]
isTimeDomainSln=1

# xR, xI
0.499986,0.866001
0,-0
0,0
0,-0
0,0
0,-0
0,0
0,-0
0,0
0,-0
0,0
0,-0
0,0
0,-0
0,0
0.125833,-0.0694287
-0.167463,0.0355946
0.184571,-0.0392307
-0.197851,0.042054
0.206259,-0.0438408
-0.209145,0.044454
0.206259,-0.0438411
-0.197851,0.0420538
0.184571,-0.0392307
-0.167463,0.0355941
0.149443,-0.0472158
-0.129333,0.0506143
0.109508,-0.0569246
-0.0911001,0.0669854
0.07496,-0.0815057
-0.0615995,0.100876
0.0512523,-0.12518
-0.0438547,0.154019
0.0391531,-0.186529
-0.0366899,0.221274
0.0359166,-0.256343
-0.0302937,0.28827
0.0333889,-0.31772
-0.0357893,0.340581
0.0373078,-0.355055
-0.0378276,0.360023
0.0373088,-0.355055
-0.0357858,0.340582
0.0333817,-0.317721
-0.0302857,0.288271
0.0239867,-0.255612
-0.0188397,0.220179
0.0131841,-0.184935
-0.00710686,0.151763
0.000657964,-0.122072
0.00612556,0.0967144
-0.0132084,-0.0760874
0.0205259,0.0601247
-0.0279649,-0.0484745
0.0353446,0.0404918
-0.0424124,-0.035422
0.0499413,0.022229
-0.0550435,-0.0244996
0.0590043,0.0262621
-0.0615119,-0.0273777
0.0623728,0.0277604
-0.0615122,-0.0273769
0.059005,0.0262606
-0.0550444,-0.0244975
0.0499421,0.0222272
-0.0173449,-0.0493075
-0.00217175,0.0612733
0.0266265,-0.0787143
-0.0567348,0.102923
0.0931759,-0.135017
-0.136292,0.175603
0.186077,-0.224778
-0.241865,0.281795
0.302309,-0.345076
-0.36518,0.412016
0.427491,-0.479107
-0.487529,0.541526
0.537341,-0.596844
-0.576011,0.639784
0.600494,-0.666966
-0.608892,0.676303
0.600496,-0.666965
-0.576014,0.639781
0.537354,-0.596831
-0.487551,0.541506
0.452207,-0.439846
-0.402158,0.353268
0.356097,-0.259608
-0.317978,0.160843
0.290866,-0.0582448
-0.276562,-0.0473172
0.275786,0.155203
-0.287927,-0.264518
0.311346,0.373812
-0.343231,-0.48081
0.379996,0.582245
-0.400302,-0.693428
0.441191,0.764273
-0.472929,-0.81927
0.493018,0.854089
-0.49991,-0.866045
0.493003,0.854098
-0.472925,-0.819273
0.441173,0.764283
-0.400274,-0.693445
0.344046,0.613903
-0.289442,-0.528183
0.233096,0.442734
-0.1772,-0.362051
0.123342,0.28949
-0.0725023,-0.227078
0.0252105,0.175775
0.0183539,-0.135443
-0.05811,0.105287
0.0940129,-0.0838413
-0.125844,0.0694094
0.167469,-0.035567
-0.184578,0.0391989
0.197859,-0.0420176
-0.206268,0.0438013
0.209155,-0.0444124
-0.206269,0.0437976
0.197861,-0.0420106
-0.18458,0.039189
0.167471,-0.035555
-0.149455,0.0471798
0.129346,-0.0505821
-0.109523,0.0568965
0.0911159,-0.0669641
-0.0749798,0.0814876
0.0616247,-0.10086
-0.0512845,0.125167
0.0438966,-0.154007
-0.0392067,0.186518
0.0367568,-0.221263
-0.035998,0.256332
0.0303896,-0.28826
-0.033497,0.317708
0.0359103,-0.340569
-0.0374395,0.355041
0.0379556,-0.36001
-0.037435,0.355041
0.0359121,-0.340568
-0.0335043,0.317708
0.0304013,-0.288259
-0.0240932,0.255602
0.0189348,-0.220171
-0.0132669,0.184929
0.00717713,-0.151759
-0.000716388,0.122072
-0.00607773,-0.0967174
0.0131696,0.0760939
